City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
310,tomatlan,19.9333,-105.25,22.73,96,30,0.46,MX,1700476371
311,alenquer,-1.9417,-54.7383,27.06,72,78,1.92,BR,1700476372
312,haiku-pauwela,20.9219,-156.3051,21.69,82,40,1.54,US,1700476374
313,cururupu,-1.8283,-44.8683,29.74,65,39,2.8,BR,1700476377
314,teknaf,20.8624,92.3058,25.79,85,57,3.51,BD,1700476379
315,santa ana,33.7456,-117.8678,19.58,34,0,4.92,US,1700476162
316,ugoofaaru,5.6667,73.0,28.15,73,90,2.08,MV,1700476384
317,vorkuta,67.5,64.0,-15.97,97,98,2.12,RU,1700476385
318,chibougamau,49.9168,-74.3659,-10.21,85,100,6.17,CA,1700476342
319,sorong,-0.8833,131.25,28.2,78,93,1.4,ID,1700476388
320,machico,32.7,-16.7667,22.35,79,40,3.6,PT,1700476389
321,sihanoukville,10.6093,103.5296,29.97,62,20,3.09,KH,1700476391
322,city of balikpapan,-1.242,116.8942,27.97,78,20,2.57,ID,1700476393
323,camiri,-20.05,-63.5167,21.88,94,75,0.0,BO,1700476394
324,santa maria da vitoria,-13.3947,-44.1886,24.42,83,95,0.52,BR,1700476395
325,tazovsky,67.4667,78.7,-26.94,100,92,2.85,RU,1700476341
326,saint-paul,-21.0096,55.2707,29.24,83,11,2.19,RE,1700476400
327,tromso,69.6496,18.957,-3.99,93,75,2.57,NO,1700476401
328,berdigestyakh,62.0989,126.6992,-8.75,96,100,1.46,RU,1700476398
329,mimizan,44.2006,-1.2289,16.05,71,100,3.15,FR,1700476404
330,rabaul,-4.1967,152.1721,28.02,77,70,0.74,PG,1700476406
331,corn island,12.1694,-83.0418,27.26,79,82,6.38,NI,1700476408
332,forio,40.7342,13.8646,19.68,81,33,0.89,IT,1700476409
333,zalingei,12.9096,23.4741,31.8,13,55,1.6,SD,1700476413
334,es castell,39.8795,4.2854,18.38,94,20,4.63,ES,1700476418
335,isangel,-19.55,169.2667,24.08,82,69,5.51,VU,1700476420
